Category	Name	Latest	Information
Scientific tool	abyss	v2.1.5	![Status](https://github.com/pscedu/singularity-abyss/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-abyss/actions/workflows/pretty.yml/badge.svg)
Scientific tool	anvio	rate-limited	![Status](https://github.com/pscedu/singularity-anvio/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-anvio/actions/workflows/pretty.yml/badge.svg)
Scientific tool	asciigenome	v1.17.0	![Status](https://github.com/pscedu/singularity-asciigenome/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-asciigenome/actions/workflows/pretty.yml/badge.svg)
Utility	asciinema	v2.3.0	![Status](https://github.com/pscedu/singularity-asciinema/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-asciinema/actions/workflows/pretty.yml/badge.svg)
Scientific tool	aspera-connect	v4.1.12	![Status](https://github.com/pscedu/singularity-aspera-connect/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-aspera-connect/actions/workflows/pretty.yml/badge.svg)
Scientific tool	augustus	rate-limited	![Status](https://github.com/pscedu/singularity-augustus/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-augustus/actions/workflows/pretty.yml/badge.svg)
Utility	aws-cli	v2.22.28	![Status](https://github.com/pscedu/singularity-aws-cli/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-aws-cli/actions/workflows/pretty.yml/badge.svg)
Scientific tool	bamtools	v2.5.2	![Status](https://github.com/pscedu/singularity-bamtools/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-bamtools/actions/workflows/pretty.yml/badge.svg)
Utility	bat	rate-limited	![Status](https://github.com/pscedu/singularity-bat/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-bat/actions/workflows/pretty.yml/badge.svg)
Scientific tool	bcftools	—	![Status](https://github.com/pscedu/singularity-bcftools/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-bcftools/actions/workflows/pretty.yml/badge.svg)
Scientific tool	bedops	—	![Status](https://github.com/pscedu/singularity-bedops/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-bedops/actions/workflows/pretty.yml/badge.svg)
Scientific tool	bedtools	rate-limited	![Status](https://github.com/pscedu/singularity-bedtools/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-bedtools/actions/workflows/pretty.yml/badge.svg)
Scientific tool	bioformats2raw	rate-limited	![Status](https://github.com/pscedu/singularity-bioformats2raw/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-bioformats2raw/actions/workflows/pretty.yml/badge.svg)
Scientific tool	bismark	rate-limited	![Status](https://github.com/pscedu/singularity-bismark/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-bismark/actions/workflows/pretty.yml/badge.svg)
Scientific tool	blast	v2.13.0	![Status](https://github.com/pscedu/singularity-blast/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-blast/actions/workflows/pretty.yml/badge.svg)
Scientific tool	blat	rate-limited	![Status](https://github.com/pscedu/singularity-blat/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-blat/actions/workflows/pretty.yml/badge.svg)
Scientific tool	bowtie2	v2.4.4	![Status](https://github.com/pscedu/singularity-bowtie2/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-bowtie2/actions/workflows/pretty.yml/badge.svg)
Scientific tool	braker2	rate-limited	![Status](https://github.com/pscedu/singularity-braker2/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-braker2/actions/workflows/pretty.yml/badge.svg)
Utility	browsh	—	![Status](https://github.com/pscedu/singularity-browsh/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-browsh/actions/workflows/pretty.yml/badge.svg)
Scientific tool	bsmap	rate-limited	![Status](https://github.com/pscedu/singularity-bsmap/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-bsmap/actions/workflows/pretty.yml/badge.svg)
Utility	btop	rate-limited	![Status](https://github.com/pscedu/singularity-btop/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-btop/actions/workflows/pretty.yml/badge.svg)
Scientific tool	busco	v5.2.2	![Status](https://github.com/pscedu/singularity-busco/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-busco/actions/workflows/pretty.yml/badge.svg)
Scientific tool	bwa	rate-limited	![Status](https://github.com/pscedu/singularity-bwa/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-bwa/actions/workflows/pretty.yml/badge.svg)
Scientific tool	checkm	rate-limited	![Status](https://github.com/pscedu/singularity-checkm/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-checkm/actions/workflows/pretty.yml/badge.svg)
Utility	circos	v0.69-9	![Status](https://github.com/pscedu/singularity-circos/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-circos/actions/workflows/pretty.yml/badge.svg)
Scientific tool	cutadapt	rate-limited	![Status](https://github.com/pscedu/singularity-cutadapt/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-cutadapt/actions/workflows/pretty.yml/badge.svg)
Utility	cwltool	v3.1.20211020155521	![Status](https://github.com/pscedu/singularity-cwltool/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-cwltool/actions/workflows/pretty.yml/badge.svg)
Utility	dua	v2.28.0	![Status](https://github.com/pscedu/singularity-dua/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-dua/actions/workflows/pretty.yml/badge.svg)
Utility	dust	v0.8.4	![Status](https://github.com/pscedu/singularity-dust/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-dust/actions/workflows/pretty.yml/badge.svg)
Scientific tool	fastani	v1.3.3	![Status](https://github.com/pscedu/singularity-fastani/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-fastani/actions/workflows/pretty.yml/badge.svg)
Scientific tool	fastq-tools	v0.8	![Status](https://github.com/pscedu/singularity-fastq-tools/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-fastq-tools/actions/workflows/pretty.yml/badge.svg)
Scientific tool	fastqc	rate-limited	![Status](https://github.com/pscedu/singularity-fastqc/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-fastqc/actions/workflows/pretty.yml/badge.svg)
Scientific tool	fasttree	v2.1.11	![Status](https://github.com/pscedu/singularity-fasttree/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-fasttree/actions/workflows/pretty.yml/badge.svg)
Utility	fdupes	v2.4.0	![Status](https://github.com/pscedu/singularity-fdupes/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-fdupes/actions/workflows/pretty.yml/badge.svg)
Utility	ffmpeg	v7.1.1	![Status](https://github.com/pscedu/singularity-ffmpeg/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-ffmpeg/actions/workflows/pretty.yml/badge.svg)
Scientific tool	filtlong	rate-limited	![Status](https://github.com/pscedu/singularity-filtlong/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-filtlong/actions/workflows/pretty.yml/badge.svg)
Utility	flac	rate-limited	![Status](https://github.com/pscedu/singularity-flac/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-flac/actions/workflows/pretty.yml/badge.svg)
Scientific tool	flash	—	![Status](https://github.com/pscedu/singularity-flash/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-flash/actions/workflows/pretty.yml/badge.svg)
Scientific tool	funannotate	rate-limited	![Status](https://github.com/pscedu/singularity-funannotate/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-funannotate/actions/workflows/pretty.yml/badge.svg)
Scientific tool	gatk	v4.2.0.0	![Status](https://github.com/pscedu/singularity-gatk/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-gatk/actions/workflows/pretty.yml/badge.svg)
Scientific tool	genemark-es	rate-limited	![Status](https://github.com/pscedu/singularity-genemark-es/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-genemark-es/actions/workflows/pretty.yml/badge.svg)
Scientific tool	gent	v1.0.0	![Status](https://github.com/pscedu/singularity-gent/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-gent/actions/workflows/pretty.yml/badge.svg)
Remote Desktop App	gimp	—	![Status](https://github.com/pscedu/singularity-gimp/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-gimp/actions/workflows/pretty.yml/badge.svg)
Utility	glances	v3.3.1	![Status](https://github.com/pscedu/singularity-glances/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-glances/actions/workflows/pretty.yml/badge.svg)
Utility	gnuplot	rate-limited	![Status](https://github.com/pscedu/singularity-gnuplot/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-gnuplot/actions/workflows/pretty.yml/badge.svg)
Utility	graphviz	rate-limited	![Status](https://github.com/pscedu/singularity-graphviz/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-graphviz/actions/workflows/pretty.yml/badge.svg)
Scientific tool	guppy	—	![Status](https://github.com/pscedu/singularity-guppy/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-guppy/actions/workflows/pretty.yml/badge.svg)
Scientific tool	guppy-gpu	—	![Status](https://github.com/pscedu/singularity-guppy-gpu/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-guppy-gpu/actions/workflows/pretty.yml/badge.svg)
Utility	hashdeep	v4.4	![Status](https://github.com/pscedu/singularity-hashdeep/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-hashdeep/actions/workflows/pretty.yml/badge.svg)
Scientific tool	hisat2	v2.2.1	![Status](https://github.com/pscedu/singularity-hisat2/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-hisat2/actions/workflows/pretty.yml/badge.svg)
Scientific tool	hmmer	rate-limited	![Status](https://github.com/pscedu/singularity-hmmer/actions/workflows/main.yml/badge.svg) ![Status](https://github.com/pscedu/singularity-hmmer/actions/workflows/pretty.yml/badge.svg)
